Year,Province,"Average age, both sexes","Average age, men","Average age, women",Citizens of foreign countries,Demographic dependency ratio,Economic dependency ratio,Finnish speakers,Foreign-language speakers,"Land area, kmÂ²",Persons born abroad,Persons with foreign background,Population 31 Dec,Sami speakers,"Share of persons aged 15 to 64, %","Share of persons aged 65 or over, %","Share of persons aged under 15, %",Swedish speakers
1990,Eastern Finland,38.20717927892819,36.29806615992742,40.03632622784926,1223.0,55.07674418604652,153.03255813953487,608956.0,1207.0,48632.61,3543.0,1997.0,610702.0,7.0,66.1630148583106,14.580524707631541,19.24178846638786,532.0
1990,Northern Finland,35.28035926153693,33.96500717467061,36.587259834889394,1957.0,55.30169491525424,154.15762711864406,640203.0,1346.0,150152.43,9366.0,2851.0,643932.0,1656.0,66.14640505519216,11.272202033755116,22.581870290651807,727.0
1990,Southern Finland,37.074860468840384,35.112370902221976,38.80509841857061,13699.0,50.475,112.82750000000001,1393398.0,15028.0,17878.51,25866.0,19600.0,1529945.0,35.0,69.61187996954139,12.00109814405093,18.382954681377438,121484.0
1990,Western Finland,38.238239006532424,36.21833797310905,40.12974686246934,9069.0,56.8890243902439,130.83658536585367,2023155.0,7056.0,85634.97,25447.0,12830.0,2177907.0,36.0,66.27469428217093,14.743518892220834,18.98438633972892,147660.0
1991,Eastern Finland,38.403722319870894,36.5004026646106,40.20910691766367,2406.0,55.90930232558139,171.7906976744186,609344.0,2275.0,48632.61,4742.0,3155.0,612172.0,7.0,66.02593797168117,14.862046777702998,19.099040465751457,546.0
1991,Northern Finland,35.46680459308876,34.16446004969673,36.77211982775918,2576.0,55.63389830508475,175.5949152542373,643605.0,1895.0,150152.43,10061.0,3446.0,647930.0,1659.0,66.07346719553037,11.522766656891948,22.401357554056766,771.0
1991,Southern Finland,37.17310283574395,35.26285380493741,38.88142311819923,19543.0,50.575,127.9375,1403824.0,20734.0,17878.51,32197.0,25676.0,1545873.0,38.0,69.61233988820557,12.034677622288509,18.351642340606247,121277.0
1991,Western Finland,38.39093989454349,36.394006876485285,40.27077521191217,12610.0,57.15914634146342,147.92012195121953,2028605.0,10298.0,85634.97,29234.0,16399.0,2186873.0,30.0,66.1943362508934,14.916091149326,18.89322882490204,147940.0
1992,Eastern Finland,38.56075953493603,36.69619792439206,40.38477409385712,3036.0,56.47674418604651,193.87441860465117,610018.0,2916.0,48632.61,5388.0,3799.0,613507.0,9.0,65.89777084858036,15.085073193948885,19.0008190615592,564.0
1992,Northern Finland,35.667855843687406,34.35938573939203,36.93379047297452,3168.0,55.85084745762712,201.14406779661016,646614.0,2461.0,150152.43,10654.0,3972.0,651515.0,1653.0,66.04192781440182,11.708216694934114,22.253938589288044,787.0
1992,Southern Finland,37.280490559141235,35.39320860947324,38.97196342288442,24146.0,50.9325,145.2475,1413196.0,25305.0,17878.51,36751.0,30331.0,1559445.0,37.0,69.50625799563308,12.076792640971627,18.416124133906614,120907.0
1992,Western Finland,38.53236023491799,36.541509286077535,40.38979616016273,15412.0,57.643902439024394,166.30670731707318,2033646.0,12881.0,85634.97,31894.0,19072.0,2194468.0,30.0,66.09345440443879,15.084999188869466,18.819950985842585,147911.0
1993,Eastern Finland,38.746237318199675,36.916364107672415,40.515704482872735,3747.0,56.93488372093023,214.06976744186048,609160.0,3622.0,48632.68,6083.0,4513.0,613379.0,9.0,65.77233211440235,15.29851233902693,18.930952641026185,588.0
1993,Northern Finland,35.84776647169794,34.59887788516515,37.11614087280355,3714.0,56.220338983050844,220.72203389830509,648649.0,3029.0,150152.43,11133.0,4512.0,654122.0,1658.0,65.9696654446724,11.981270924995643,22.059821868091884,786.0
1993,Southern Finland,37.36671247875581,35.49882232869369,39.03994327260904,29548.0,51.3,162.0675,1423503.0,30714.0,17878.47,42065.0,35851.0,1574548.0,39.0,69.36644325863676,12.145701814107921,18.51382650767077,120292.0
1993,Western Finland,38.69665361230126,36.722550988169246,40.53206300644384,17961.0,57.80975609756097,184.0487804878049,2036553.0,15411.0,85634.99,34358.0,21600.0,2199775.0,32.0,65.99008675887306,15.270092213976426,18.75105240308668,147779.0
1994,Eastern Finland,38.99167628415978,37.18677160752793,40.738445541047234,4038.0,57.800000000000004,210.82558139534885,608138.0,3878.0,48635.74,6298.0,4790.0,612599.0,8.0,65.55744638825723,15.621535457942311,18.81899023668011,575.0
1994,Northern Finland,36.118587758190856,34.845876269784846,37.38763567511817,4004.0,56.8593220338983,216.23220338983052,649708.0,3303.0,150152.4,11340.0,4751.0,655426.0,1637.0,65.85238898060193,12.312344032735965,21.829717618770083,778.0
1994,Southern Finland,37.46975640840955,35.65773711382684,39.13116718008592,33571.0,51.932500000000005,159.92249999999999,1434908.0,34730.0,17875.41,45921.0,40010.0,1589669.0,41.0,69.18687531806937,12.2610874968311,18.55733545788463,119990.0
1994,Western Finland,38.87141985756164,36.944284279898994,40.69623038116592,19780.0,58.37073170731707,176.10000000000002,2040176.0,17094.0,85634.99,35863.0,23281.0,2205024.0,40.0,65.84155188333551,15.492584525157097,18.68383555008925,147714.0
1995,Eastern Finland,39.27138307157466,37.498126014243205,40.987106604637155,4341.0,58.504651162790694,215.64883720930231,605950.0,4125.0,48636.05,6558.0,5060.0,610677.0,8.0,65.34866975504237,15.973678884254689,18.662560568025324,594.0
1995,Northern Finland,36.37609067442339,35.120863036542374,37.64066277307789,4150.0,57.335593220338986,220.82372881355934,650826.0,3391.0,150152.38,11374.0,4832.0,656635.0,1633.0,65.76460880093204,12.61778811668583,21.613685685350312,785.0
1995,Southern Finland,37.584714330385346,35.7780254717557,39.21539287124716,37515.0,52.575,159.0675,1447009.0,38587.0,17875.1,49639.0,44006.0,1605386.0,47.0,69.01489498475755,12.364588204955071,18.606835552321993,119743.0
1995,Western Finland,39.06104902359909,37.1453389836265,40.867137700536574,21907.0,58.71707317073171,177.2012195121951,2041621.0,19052.0,85635.01,37721.0,25288.0,2208263.0,38.0,65.70751115243065,15.687635711869465,18.588570473716217,147552.0
1996,Eastern Finland,39.565941750064155,37.807697077962665,41.28501888369094,4645.0,58.91627906976744,217.68139534883719,602892.0,4433.0,48636.05,6818.0,5354.0,607932.0,9.0,65.28242270517099,16.267193699295316,18.43702141028931,598.0
1996,Northern Finland,36.673839124768584,35.41048335038487,37.94125149201014,4461.0,57.54915254237288,222.63728813559322,650809.0,3631.0,150152.38,11487.0,5067.0,656832.0,1613.0,65.74759070812628,12.919459618288998,21.326684601237456,779.0
1996,Southern Finland,37.70982327956405,35.95601245594638,39.325209038767184,40295.0,53.035000000000004,157.4625,1459498.0,41623.0,17875.1,52437.0,47023.0,1620752.0,48.0,68.95214264736369,12.41544375697207,18.605328329071938,119583.0
1996,Western Finland,39.263310872629766,37.37261949933993,41.045120778103055,23686.0,58.974999999999994,175.0268292682927,2042896.0,20759.0,85635.01,39385.0,26995.0,2211121.0,42.0,65.6868241041535,15.87505419196869,18.450116343700774,147424.0
1997,Eastern Finland,39.90995431932151,38.14244052580744,41.58096296590323,4867.0,59.34651162790698,209.1790697674419,599350.0,4683.0,48636.05,6984.0,5588.0,604632.0,11.0,65.20563830561399,16.57455840908189,18.211671562206433,588.0
1997,Northern Finland,36.97986748216107,35.73745902690033,38.25442112716463,4557.0,57.367796610169485,208.42033898305084,649097.0,3797.0,150089.41,11570.0,5224.0,655308.0,1615.0,65.86479731668162,13.177507523179939,20.993774683049804,799.0
1997,Southern Finland,37.83352325780935,36.13471343083604,39.44506052850302,44591.0,53.24249999999999,149.2375,1471735.0,46325.0,17875.1,56825.0,51797.0,1637493.0,46.0,68.99681653600962,12.504733882831864,18.496513328606596,119387.0
1997,Western Finland,39.48033087380254,37.62117004361043,41.23260272970437,25909.0,58.99390243902439,165.36524390243903,2044144.0,23056.0,85634.2,41669.0,29326.0,2214379.0,44.0,65.7476729141669,16.01100371706921,18.250359807422306,147135.0
1998,Eastern Finland,40.23842882661903,38.492678200069314,41.91403288052898,4961.0,59.02093023255814,200.92325581395352,594636.0,4875.0,48636.05,7186.0,5787.0,600112.0,11.0,65.33686445196896,16.8081243167942,17.851744007785214,590.0
1998,Northern Finland,37.326339783575776,36.052273005796636,38.58399337001679,4622.0,57.13728813559322,199.32033898305085,646433.0,3986.0,150089.63,11582.0,5391.0,652792.0,1575.0,66.0087173249672,13.381669965318205,20.594641018885035,798.0
1998,Southern Finland,38.004844671671435,36.31434402314732,39.57753028713443,47082.0,52.92,140.645,1483515.0,50952.0,17875.1,61003.0,56357.0,1653755.0,50.0,69.13832133538523,12.506310064066323,18.341597515956114,119238.0
1998,Western Finland,39.70656743097898,37.857326895595094,41.44996259383671,27699.0,58.69451219512195,156.93231707317074,2044751.0,25722.0,85634.2,44206.0,32051.0,2217549.0,52.0,65.8830083123304,16.099114968823688,18.020572533008288,147024.0
1999,Eastern Finland,40.579239552658294,38.87794534913963,42.24580503888651,5019.0,59.018604651162796,197.51627906976745,590174.0,5190.0,48636.05,7388.0,6026.0,595965.0,11.0,65.35629709798394,17.11919458357454,17.541001065498815,590.0
1999,Northern Finland,37.62936300723981,36.359045309481175,38.90785613141623,4891.0,57.21016949152543,193.7593220338983,644210.0,4534.0,150089.63,11828.0,5803.0,651122.0,1573.0,66.11138573109187,13.6305065717331,20.25354925804995,805.0
1999,Southern Finland,38.1603614750194,36.47831838921028,39.693273916338875,48195.0,53.06,137.115,1494621.0,55333.0,17875.1,64572.0,60411.0,1668995.0,59.0,69.22492242337455,12.53398416412272,18.19357193999982,118982.0
1999,Western Finland,39.928397168436916,38.09445877484532,41.65865551207883,28936.0,58.55975609756097,155.05670731707318,2044885.0,28360.0,85634.2,46271.0,34427.0,2219834.0,47.0,65.93530642381367,16.224531924459217,17.846129620503152,146542.0
2000,Eastern Finland,40.919370446140924,39.257938348793715,42.57550456716272,5149.0,59.35116279069767,194.16976744186044,585986.0,5373.0,48636.05,7584.0,6248.0,591943.0,11.0,65.29905176680863,17.439481335196128,17.30100938772821,573.0
2000,Northern Finland,37.950170808575955,36.649531256969624,39.21497762799877,5174.0,57.489830508474576,187.35593220338984,642919.0,4781.0,150089.43,12064.0,6147.0,650143.0,1602.0,66.05275377878405,13.92531350795133,20.021927022208963,841.0
2000,Southern Finland,38.345473192065164,36.68269318348016,39.85843417546471,49688.0,53.075,132.3025,1505053.0,58273.0,17875.1,67280.0,63553.0,1682002.0,66.0,69.26607625912453,12.623192065169961,18.118673937367497,118610.0
2000,Western Finland,40.15463163514064,38.35732305091337,41.861621601183984,30390.0,58.697560975609754,149.68536585365854,2045168.0,30214.0,85634.05,48177.0,36521.0,2221656.0,55.0,65.93297877799263,16.38227655406597,17.683858212072437,146219.0
2001,Eastern Finland,41.27889786132938,39.60970212101249,42.880856554899786,5478.0,59.723255813953486,193.70232558139537,582594.0,5774.0,48636.05,7978.0,6623.0,588964.0,15.0,65.24540752915287,17.705278251302285,17.032592993799284,581.0
2001,Northern Finland,38.253658968791946,36.990736354853176,39.539250377908274,5526.0,57.9728813559322,191.5627118644068,641352.0,5181.0,150089.61,12361.0,6533.0,648967.0,1592.0,66.02373895745083,14.198784221693861,19.778508768550633,842.0
2001,Southern Finland,38.521501942202235,36.87686939176572,40.030404341379345,53923.0,53.36,132.72750000000002,1513168.0,64177.0,17818.9,72481.0,69209.0,1695498.0,67.0,69.26425368829689,12.724821143994273,17.999051075259306,118086.0
2001,Western Finland,40.37526842788541,38.614300685949935,42.05979965051143,32914.0,59.038414634146335,150.24756097560976,2046619.0,33403.0,85633.4,51145.0,39583.0,2226110.0,60.0,65.90199460044651,16.544198759270657,17.562054076393352,146028.0
2002,Eastern Finland,41.60984742962098,39.95482889175663,43.205268440566165,5610.0,59.769767441860466,189.85116279069769,579225.0,6020.0,48636.05,8139.0,6790.0,585828.0,16.0,65.18363871306936,17.98963245184593,16.825951473811426,567.0
2002,Northern Finland,38.56287808557471,37.26122437332157,39.83712006342753,5769.0,58.122033898305084,188.35254237288135,640310.0,5577.0,150089.63,12655.0,6891.0,648299.0,1575.0,65.9401177543078,14.491925947749415,19.556416560877004,837.0
2002,Southern Finland,38.722345452147536,37.12686977037265,40.17978388358905,56816.0,53.5225,132.48499999999999,1519454.0,68824.0,17818.9,76573.0,73831.0,1706025.0,66.0,69.19513805483507,12.862396975425328,17.965423543031317,117681.0
2002,Western Finland,40.596996328786524,38.86692093219238,42.244085132706076,34764.0,59.167682926829265,148.80548780487803,2048859.0,35919.0,85633.38,53503.0,42037.0,2230870.0,63.0,65.838754880383,16.718564013142853,17.44112530089158,146029.0
2003,Eastern Finland,41.92824626814524,40.28676510904281,43.49017792277219,5643.0,60.00697674418604,187.0860465116279,576796.0,6252.0,48636.05,8351.0,7002.0,583624.0,17.0,65.12658269707894,18.35031510013296,16.507914342110674,559.0
2003,Northern Finland,38.813451563762406,37.54021761923264,40.094462073133876,5945.0,58.34915254237288,185.9457627118644,640290.0,5863.0,150114.17,12909.0,7176.0,648564.0,1548.0,65.84672075539191,14.805994011385154,19.358684879210067,863.0
2003,Southern Finland,38.889714293376926,37.35093179398619,40.3320984429677,59038.0,53.89,132.865,1523817.0,73926.0,17818.9,80925.0,78807.0,1715186.0,73.0,69.12399745566952,13.076896849671114,17.8234873652187,117370.0
2003,Western Finland,40.80606699825623,39.10094398872113,42.42101454425657,35629.0,59.22926829268293,148.1140243902439,2052904.0,38074.0,85608.84,55468.0,44147.0,2237103.0,66.0,65.78766225783973,16.94919223656667,17.272652846113925,146059.0
2004,Eastern Finland,42.22895439134327,40.62980002715108,43.788244098506865,5783.0,60.27441860465117,186.45116279069768,574637.0,6727.0,48636.05,8797.0,7436.0,581929.0,16.0,65.02341419657725,18.74174615803646,16.22100737375178,549.0
2004,Northern Finland,39.051833272093575,37.80269352401188,40.32462975575333,6435.0,58.63898305084746,184.3186440677966,641426.0,6557.0,150114.78,13573.0,7856.0,650449.0,1570.0,65.71991116905399,15.121216882491943,19.158304648020064,896.0
2004,Southern Finland,39.10442322560289,37.560091616211835,40.54772313761745,59376.0,54.220000000000006,131.9875,1528631.0,78357.0,17818.9,84656.0,83158.0,1724149.0,74.0,68.99492607657459,13.316782250257956,17.664489031980416,117087.0
2004,Western Finland,41.017716094010794,39.329274561660235,42.6246025308133,36048.0,59.61829268292683,147.50243902439024,2057710.0,40859.0,85608.23,58156.0,46896.0,2244891.0,72.0,65.64172416389037,17.21990689080227,17.12814127723796,146250.0
2005,Eastern Finland,42.55156448644238,40.9384741707506,44.088119080024356,6024.0,60.10697674418604,183.5279069767442,571838.0,7268.0,48445.21,9322.0,7973.0,579711.0,19.0,65.13223692495053,18.924773895958502,15.942294177616086,586.0
2005,Northern Finland,39.318777723771944,38.07141858314947,40.5622251388776,6836.0,58.63050847457627,182.35762711864407,642565.0,7147.0,149849.68,14131.0,8430.0,652193.0,1574.0,65.72628945726187,15.286909089793971,18.988348081012823,907.0
2005,Southern Finland,39.317260960007005,37.796025060988114,40.7522055351174,62909.0,54.052499999999995,131.1575,1534114.0,85271.0,17837.44,90859.0,90120.0,1736404.0,84.0,69.06704021644732,13.481870866457346,17.472694488149074,116935.0
2005,Western Finland,41.235306845484295,39.572813788920435,42.82026986044748,37316.0,59.18231707317073,145.57256097560978,2061713.0,43895.0,85675.46,61054.0,49883.0,2252127.0,75.0,65.71561714770083,17.339711614842322,16.945219652355306,146444.0
2006,Eastern Finland,42.85299927423644,41.26702695025141,44.40051773443982,6479.0,61.03488372093023,178.4813953488372,568750.0,7959.0,48440.68,9919.0,8642.0,577323.0,22.0,64.82385458400236,19.506893541397105,15.68467963341145,592.0
2006,Northern Finland,39.55271970756195,38.30390402347344,40.79863581998582,7135.0,59.72372881355932,175.83389830508474,642878.0,7580.0,149832.28,14551.0,8866.0,652993.0,1582.0,65.36405244772914,15.830470005038338,18.805697610847286,953.0
2006,Southern Finland,39.49115089598814,38.00844175877164,40.893047308036415,67780.0,55.120000000000005,128.4625,1540556.0,93005.0,17836.87,97678.0,97807.0,1750358.0,88.0,68.81057063754956,13.92192397212456,17.263878760802076,116709.0
2006,Western Finland,41.42221608456464,39.78638951088569,42.989139559866565,39525.0,59.86585365853659,140.84878048780487,2066949.0,47470.0,85672.08,64441.0,53473.0,2261087.0,80.0,65.41835732105842,17.797339642393236,16.79048378058872,146588.0
2007,Eastern Finland,43.18331310563386,41.599160884214555,44.72685588417102,6874.0,60.699999999999996,172.72093023255815,564984.0,8694.0,48432.1,10552.0,9340.0,574295.0,20.0,64.98309788523319,19.593278889769195,15.424646566659993,597.0
